"is_promotion","week_range","cnt"
0,"1.W-0",1000
0,"2.W-1",239
0,"3.W-2",83
0,"4.W-3",46
0,"5.W-4",32
1,"1.W-0",1000
1,"2.W-1",440
1,"3.W-2",159
1,"4.W-3",97
1,"5.W-4",70
